EducationSector,IndividualProject,Age,Gender,City,Influenced,Perseverance,DesireToTakeInitiative,Competitiveness,SelfReliance,StrongNeedToAchieve,SelfConfidence,GoodPhysicalHealth,MentalDisorder,KeyTraits
language and cultural studies,no,19,male,no,yes,3,5,3,3,5,5,2,no,vision
others,no,19,male,yes,yes,4,3,3,4,5,5,5,no,passion
engineering sciences,yes,20,male,yes,yes,3,3,5,3,5,4,2,yes,vision
"medicine, health sciences",yes,20,female,yes,no,5,4,5,5,5,5,3,yes,work ethic
humanities and social sciences,no,20,male,yes,yes,4,4,5,5,5,5,5,no,passion
engineering sciences,yes,20,male,yes,no,5,4,4,4,4,5,3,no,work ethic
engineering sciences,yes,22,male,no,yes,3,4,4,4,5,5,5,no,passion
"economic sciences, business studies, commerce and law",yes,19,male,yes,yes,4,3,5,4,5,4,3,yes,work ethic
"art, music or design",yes,20,male,yes,yes,5,5,5,5,4,5,4,yes,passion
"medicine, health sciences",no,20,male,yes,no,5,4,4,5,5,4,5,no,vision
humanities and social sciences,no,19,female,yes,yes,3,5,2,4,4,4,2,no,positivity
engineering sciences,yes,20,male,yes,yes,5,5,4,4,5,5,3,no,positivity
engineering sciences,yes,20,male,yes,no,4,3,5,4,5,4,4,no,positivity
engineering sciences,no,19,male,yes,yes,4,4,4,5,5,4,5,no,positivity
engineering sciences,yes,20,male,yes,yes,5,5,5,5,4,4,4,no,work ethic
engineering sciences,yes,18,male,yes,no,2,3,3,2,2,2,3,no,positivity
"economic sciences, business studies, commerce and law",no,17,male,yes,no,5,4,4,5,5,5,5,no,positivity
"economic sciences, business studies, commerce and law",yes,19,male,no,yes,3,4,5,5,5,4,5,no,work ethic
engineering sciences,no,20,male,yes,no,2,3,3,2,3,2,2,yes,positivity
"art, music or design",no,20,female,yes,yes,4,4,3,4,5,4,3,no,positivity
"medicine, health sciences",yes,20,male,yes,yes,3,5,5,5,3,4,5,no,vision
engineering sciences,yes,20,female,yes,no,3,4,4,4,4,3,3,no,passion
engineering sciences,yes,21,male,yes,yes,5,3,4,4,4,4,3,no,positivity
mathematics or natural sciences,yes,20,male,yes,yes,2,3,2,1,2,3,2,yes,vision
engineering sciences,no,20,female,yes,no,5,5,5,5,5,5,5,no,work ethic
engineering sciences,yes,21,male,yes,yes,3,5,5,4,5,5,4,no,positivity
engineering sciences,yes,21,male,yes,yes,4,4,4,4,4,4,4,no,positivity
engineering sciences,yes,20,female,yes,yes,4,5,4,4,4,5,4,no,positivity
"economic sciences, business studies, commerce and law",no,19,male,yes,yes,3,3,3,3,3,3,3,no,positivity
engineering sciences,yes,20,female,yes,yes,3,5,4,4,5,4,4,no,positivity
engineering sciences,yes,19,male,yes,yes,4,3,3,3,4,4,4,no,passion
engineering sciences,yes,20,female,yes,yes,3,4,4,4,5,5,3,no,passion
others,no,19,female,yes,yes,4,5,5,4,5,4,3,no,passion
engineering sciences,yes,20,male,yes,yes,3,3,3,4,4,4,4,yes,work ethic
"art, music or design",yes,19,male,yes,yes,3,3,3,3,3,3,3,no,passion
"economic sciences, business studies, commerce and law",no,20,male,yes,no,1,2,1,2,3,2,2,no,positivity
engineering sciences,yes,19,male,yes,no,5,5,5,5,5,5,5,yes,vision
others,yes,20,male,yes,yes,3,4,4,4,3,3,4,yes,passion
"economic sciences, business studies, commerce and law",no,20,male,no,yes,2,2,3,2,3,3,2,yes,resilience
engineering sciences,yes,20,male,yes,yes,4,5,5,5,4,5,4,no,work ethic
engineering sciences,yes,20,male,yes,yes,3,4,3,5,5,5,5,no,passion
engineering sciences,yes,20,male,yes,no,4,4,4,4,4,4,4,no,positivity
engineering sciences,yes,20,male,yes,yes,2,2,2,2,2,2,2,no,vision
"economic sciences, business studies, commerce and law",yes,20,male,yes,yes,3,4,3,5,4,3,2,yes,positivity
"economic sciences, business studies, commerce and law",no,21,male,no,yes,3,4,3,4,5,3,4,yes,passion
engineering sciences,yes,20,male,no,no,3,4,5,5,3,4,4,no,passion
"medicine, health sciences",no,19,male,yes,no,3,1,3,4,3,3,5,no,passion
engineering sciences,yes,20,male,no,yes,4,4,4,4,5,5,5,no,positivity
"economic sciences, business studies, commerce and law",no,18,female,yes,yes,4,3,4,4,4,5,5,yes,positivity
engineering sciences,no,22,male,yes,no,2,3,2,3,3,3,3,no,positivity
"economic sciences, business studies, commerce and law",no,19,male,yes,yes,2,3,2,3,2,2,1,no,passion
"art, music or design",no,19,female,yes,yes,2,2,2,2,2,2,2,yes,positivity
"medicine, health sciences",no,17,female,yes,no,3,2,1,3,3,2,3,no,positivity
mathematics or natural sciences,no,18,female,yes,yes,2,1,3,1,2,3,4,no,work ethic
others,yes,20,female,yes,no,2,2,2,2,2,1,3,no,positivity
others,yes,19,male,yes,yes,4,5,5,5,5,4,4,no,positivity
"art, music or design",no,22,female,yes,yes,4,3,4,5,5,4,3,no,positivity
"art, music or design",yes,21,male,yes,yes,2,1,2,2,2,1,1,no,vision
"economic sciences, business studies, commerce and law",no,20,female,no,yes,2,1,1,2,2,2,1,no,resilience
"art, music or design",no,21,male,no,no,1,1,1,1,5,5,5,no,passion
"economic sciences, business studies, commerce and law",yes,25,female,yes,yes,4,4,3,3,3,4,4,no,passion
"medicine, health sciences",yes,22,male,no,yes,2,1,2,3,2,3,3,yes,vision
"art, music or design",yes,21,male,no,yes,2,2,3,3,3,3,3,no,passion
"art, music or design",yes,21,male,yes,no,4,4,4,3,4,5,5,no,passion
"teaching degree (e.g., b.ed)",yes,18,male,yes,yes,5,5,5,5,5,5,5,no,vision
"medicine, health sciences",no,19,female,yes,no,4,5,5,5,5,5,5,yes,vision
others,yes,22,female,yes,no,3,3,3,3,3,3,2,no,positivity
"art, music or design",no,21,female,yes,yes,4,5,5,5,5,4,2,yes,positivity
"teaching degree (e.g., b.ed)",yes,20,male,yes,yes,4,4,4,4,4,4,4,yes,work ethic
engineering sciences,yes,18,female,yes,yes,4,3,4,4,3,3,4,no,passion
engineering sciences,no,18,male,no,yes,3,3,4,4,4,3,4,no,passion
"art, music or design",yes,21,male,yes,yes,3,4,4,4,5,4,5,yes,passion
"art, music or design",yes,19,female,yes,no,2,2,2,2,1,2,2,no,passion
others,yes,20,male,yes,yes,2,3,3,3,3,3,3,no,work ethic
engineering sciences,yes,20,male,no,yes,2,1,1,2,3,1,3,no,passion
engineering sciences,yes,20,female,yes,yes,4,5,5,4,5,5,5,no,work ethic
"art, music or design",yes,19,female,yes,yes,4,5,5,5,5,5,5,no,passion
humanities and social sciences,no,19,female,no,no,2,2,1,2,2,2,3,no,positivity
engineering sciences,no,18,male,yes,yes,3,3,2,2,3,3,2,no,work ethic
others,yes,20,female,yes,no,4,5,4,4,3,5,5,yes,passion
engineering sciences,yes,22,male,no,yes,4,3,4,4,5,3,4,no,passion
others,yes,19,male,yes,yes,4,3,3,4,4,3,3,no,work ethic
engineering sciences,yes,19,male,yes,yes,3,4,5,5,4,4,2,no,work ethic
"economic sciences, business studies, commerce and law",no,20,male,yes,yes,4,5,5,4,5,4,5,yes,passion
"art, music or design",yes,19,male,yes,yes,3,4,3,4,5,4,4,no,vision
engineering sciences,no,17,male,yes,yes,5,5,4,4,5,5,4,no,positivity
others,no,21,female,no,yes,3,1,2,3,2,2,1,yes,passion
"economic sciences, business studies, commerce and law",yes,20,female,yes,no,4,4,4,4,4,4,2,yes,work ethic
"economic sciences, business studies, commerce and law",no,18,female,yes,no,4,5,3,2,3,1,1,yes,passion
engineering sciences,no,17,male,no,yes,3,4,4,2,3,2,3,no,passion
others,yes,21,female,yes,no,4,5,4,5,4,4,4,yes,positivity
others,yes,19,female,no,yes,4,4,4,5,4,4,4,no,passion
"art, music or design",yes,20,male,yes,yes,2,3,2,3,2,3,2,no,positivity
engineering sciences,no,20,male,yes,yes,4,4,4,5,4,4,4,no,work ethic
engineering sciences,no,19,male,yes,yes,5,5,5,5,5,5,5,no,positivity
engineering sciences,yes,19,female,yes,no,3,4,5,4,4,3,3,yes,work ethic
engineering sciences,yes,20,male,yes,yes,3,4,5,5,4,5,5,no,positivity
"art, music or design",yes,19,male,yes,yes,4,5,5,5,4,5,4,no,passion
engineering sciences,no,19,male,yes,no,3,3,3,3,3,3,3,no,positivity
engineering sciences,yes,20,male,yes,yes,4,4,4,4,4,5,3,no,work ethic
engineering sciences,no,19,male,no,yes,4,5,5,4,4,4,5,no,positivity
mathematics or natural sciences,yes,17,male,yes,yes,4,5,5,3,4,4,4,no,vision
"art, music or design",yes,20,female,yes,yes,3,4,3,4,3,4,3,yes,positivity
engineering sciences,yes,20,female,yes,yes,2,3,3,2,3,2,2,no,passion
engineering sciences,yes,20,male,yes,yes,4,4,5,3,4,4,5,yes,positivity
engineering sciences,yes,21,male,yes,yes,4,5,4,5,4,4,3,yes,positivity
engineering sciences,yes,21,female,no,no,2,2,3,3,3,3,2,no,positivity
engineering sciences,no,20,male,yes,no,4,5,4,4,5,5,5,no,vision
"economic sciences, business studies, commerce and law",yes,19,male,yes,no,2,2,3,3,2,2,3,no,positivity
engineering sciences,yes,20,female,yes,yes,2,3,2,3,3,3,2,no,passion
"economic sciences, business studies, commerce and law",no,19,male,yes,yes,4,5,5,5,5,5,5,yes,vision
"art, music or design",yes,20,female,yes,yes,4,5,5,4,4,5,5,no,work ethic
engineering sciences,no,19,male,yes,no,3,2,3,3,4,2,4,yes,work ethic
engineering sciences,yes,19,male,yes,yes,4,5,4,3,4,4,5,yes,positivity
engineering sciences,yes,19,male,yes,no,2,2,2,2,2,2,2,no,work ethic
engineering sciences,yes,22,female,yes,yes,3,4,4,3,4,4,3,no,vision
engineering sciences,no,19,male,yes,no,1,2,2,3,3,2,2,no,passion
engineering sciences,yes,18,male,no,yes,3,5,3,5,5,5,2,no,passion
